id	type	identifier	description	creator	rightsHolder
4085	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/LITHSOCI_iA_04_9M2YD1d.jpg	individual on sugar	Steeman Chris	Steeman Chris
4105	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/LYCAHELL_iW_03_vIlgGqw.jpg		Steeman Chris	Steeman Chris
4292	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/OLIGFASC_iA_02_aEVJvxV.jpg		Sallaets Gaston	Sallaets Gaston
4293	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/OLIGLATR_iW_01.jpg	gen. det. STC517F	Steeman Chris	Steeman Chris
4310	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ORTHBETU_iA_02_BziB9iA.jpg		Peeters Adriaan	Peeters Adriaan
4313	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ORTHGOTH_l_01_5ujR8b2.jpg	final instar larva on *Cytisus scoparius*	Baugnée Jean-Yves	Baugnée Jean-Yves
4316	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ORTHMINI_iA_01_GRoeCcw.jpg		Steeman Chris	Steeman Chris
4318	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ORTHOPIM_iA_01_QIcr6iD.jpg		Steeman Chris	Steeman Chris
4319	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ORTHPOPU_iA_01_HNi44Qr.jpg		Steeman Chris	Steeman Chris
4319	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ORTHPOPU_iA_02_pNo8aME.jpg		Steeman Chris	Steeman Chris
4312	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ORTHCRUD_iA_01_OdpQrkU.jpg		Steeman Chris	Steeman Chris
4301	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/OPISLUTE_l_02_n6DtGzh.jpg		Voogd Jeroen	Voogd Jeroen
4317	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ORTHOBST_iM_02_PAwpXaF.jpg		Jacobs Maarten	Jacobs Maarten
4280	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ODEZATRA_iA_01_f10lZn7.jpg		Steeman Chris	Steeman Chris
4071	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/LEUCSALI_l_01_jeVgowM.jpg		Voogd Jeroen	Voogd Jeroen
4033	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/LACATHAL_iA_04.jpg		Steeman Chris	Steeman Chris
4296	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/OLINSCHU_iA_01_bSpYsMu.jpg		Steeman Chris	Steeman Chris
4296	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/OLINSCHU_iA_02_R7UMQK4.jpg		Baugnée Jean-Yves	Baugnée Jean-Yves
4303	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/OPOSSALA_iA_01_YggfdVW.jpg		Steeman Chris	Steeman Chris
4032	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/LACASUAS_iA_03_EPgfc6D.jpg	worn specimen	Steeman Chris	Steeman Chris
4289	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/OIDALITH_iA_01_W4hyDWK.jpg		Steeman Chris	Steeman Chris
4301	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/OPISLUTE_iA_01_xxRRF1I.jpg		Steeman Chris	Steeman Chris
4281	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ODONBIDE_iA_01_4toafQn.jpg		Steeman Chris	Steeman Chris
4281	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ODONBIDE_l_02_7nfuuWZ.jpg		Baugnée Jean-Yves	Baugnée Jean-Yves
4324	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/OURASAMB_iA_02_wP3NKmx.jpg		Steeman Chris	Steeman Chris
4305	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ORGYANTI_iM_01_nLZsNU3.jpg		Steeman Chris	Steeman Chris
4305	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ORGYANTI_l_02_T0JPQSs.jpg		Steeman Chris	Steeman Chris
5313	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/AGLITAU_l_01_Qo4YYn8.jpg		Voogd Jeroen	Voogd Jeroen
5470	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/APATILIA_l_01.jpg	young larva on *Populus tremula*	Steeman Chris	Steeman Chris
