id	locality	countryCode	occurrenceStatus	eventDate
4221	Oost-Vlaanderen province	BE	present	After 2004
4221	Antwerpen province	BE	present	Before 1980
4221	Antwerpen province	BE	present	1980-2004
4221	Antwerpen province	BE	present	After 2004
4221	Limburg province	BE	present	Before 1980
4221	Limburg province	BE	present	1980-2004
4221	Limburg province	BE	present	After 2004
4221	Brabant province	BE	present	Before 1980
4221	Brabant province	BE	present	1980-2004
4221	Brabant province	BE	present	After 2004
4221	Hainaut province	BE	present	Before 1980
4221	Hainaut province	BE	present	After 2004
4221	Namur province	BE	present	Before 1980
4221	Namur province	BE	present	1980-2004
4221	Namur province	BE	present	After 2004
4221	Liège province	BE	present	Before 1980
4221	Liège province	BE	present	1980-2004
4221	Liège province	BE	present	After 2004
4221	Luxembourg province	BE	present	Before 1980
4221	Luxembourg province	BE	present	1980-2004
4221	Luxembourg province	BE	present	After 2004
4222	Namur province	BE	present	Before 1980
4223	Brabant province	BE	present	Before 1980
4224	Oost-Vlaanderen province	BE	present	Before 1980
4224	Antwerpen province	BE	present	Before 1980
4224	Limburg province	BE	present	Before 1980
4224	Brabant province	BE	present	Before 1980
4224	Hainaut province	BE	present	After 2004
4224	Namur province	BE	present	Before 1980
4224	Namur province	BE	present	1980-2004
4224	Namur province	BE	present	After 2004
4224	Liège province	BE	present	Before 1980
4224	Liège province	BE	present	1980-2004
4224	Liège province	BE	present	After 2004
4224	Luxembourg province	BE	present	Before 1980
4224	Luxembourg province	BE	present	1980-2004
4224	Luxembourg province	BE	present	After 2004
4225	Brabant province	BE	present	Before 1980
4225	Namur province	BE	present	Before 1980
4225	Namur province	BE	present	After 2004
4225	Luxembourg province	BE	present	After 2004
4226	West-Vlaanderen province	BE	present	After 2004
4226	Oost-Vlaanderen province	BE	present	After 2004
4226	Antwerpen province	BE	present	After 2004
4226	Limburg province	BE	present	After 2004
4226	Brabant province	BE	present	After 2004
4226	Namur province	BE	present	1980-2004
4226	Namur province	BE	present	After 2004
4226	Liège province	BE	present	Before 1980
4226	Liège province	BE	present	1980-2004
4226	Liège province	BE	present	After 2004
4226	Luxembourg province	BE	present	1980-2004
4226	Luxembourg province	BE	present	After 2004
5607	West-Vlaanderen province	BE	present	After 2004
5607	Oost-Vlaanderen province	BE	present	Before 1980
5607	Antwerpen province	BE	present	Before 1980
5607	Antwerpen province	BE	present	After 2004
5607	Brabant province	BE	present	After 2004
5607	Namur province	BE	present	After 2004
5607	Luxembourg province	BE	present	Before 1980
5609	West-Vlaanderen province	BE	present	Before 1980
5609	Oost-Vlaanderen province	BE	present	Before 1980
5609	Antwerpen province	BE	present	Before 1980
5609	Antwerpen province	BE	present	1980-2004
5609	Limburg province	BE	present	After 2004
5609	Brabant province	BE	present	Before 1980
5609	Brabant province	BE	present	After 2004
5609	Hainaut province	BE	present	Before 1980
5609	Hainaut province	BE	present	After 2004
5609	Namur province	BE	present	After 2004
5609	Liège province	BE	present	Before 1980
5812	Namur province	BE	present	Before 1980
5813	Oost-Vlaanderen province	BE	present	After 2004
5813	Antwerpen province	BE	present	Before 1980
5813	Antwerpen province	BE	present	1980-2004
5813	Antwerpen province	BE	present	After 2004
5813	Limburg province	BE	present	After 2004
5813	Brabant province	BE	present	Before 1980
5813	Brabant province	BE	present	After 2004
5813	Namur province	BE	present	After 2004
5813	Liège province	BE	present	After 2004
5813	Luxembourg province	BE	present	After 2004
4828	West-Vlaanderen province	BE	present	After 2004
4828	Oost-Vlaanderen province	BE	present	After 2004
4828	Antwerpen province	BE	present	After 2004
4828	Limburg province	BE	present	1980-2004
4828	Limburg province	BE	present	After 2004
4828	Brabant province	BE	present	Before 1980
4828	Brabant province	BE	present	After 2004
4828	Hainaut province	BE	present	After 2004
4828	Namur province	BE	present	1980-2004
4828	Namur province	BE	present	After 2004
4828	Luxembourg province	BE	present	After 2004
5383	Namur province	BE	present	1980-2004
5383	Liège province	BE	present	1980-2004
5383	Liège province	BE	present	After 2004
5383	Luxembourg province	BE	present	1980-2004
5384	West-Vlaanderen province	BE	present	1980-2004
5384	West-Vlaanderen province	BE	present	After 2004
5384	Oost-Vlaanderen province	BE	present	Before 1980
5384	Oost-Vlaanderen province	BE	present	1980-2004
5384	Oost-Vlaanderen province	BE	present	After 2004
5384	Antwerpen province	BE	present	Before 1980
5384	Antwerpen province	BE	present	1980-2004
5384	Antwerpen province	BE	present	After 2004
5384	Limburg province	BE	present	1980-2004
5384	Limburg province	BE	present	After 2004
5384	Brabant province	BE	present	1980-2004
5384	Brabant province	BE	present	After 2004
5384	Hainaut province	BE	present	1980-2004
5384	Hainaut province	BE	present	After 2004
5384	Namur province	BE	present	Before 1980
5384	Namur province	BE	present	1980-2004
5384	Namur province	BE	present	After 2004
5384	Liège province	BE	present	Before 1980
5384	Liège province	BE	present	1980-2004
5384	Liège province	BE	present	After 2004
5384	Luxembourg province	BE	present	Before 1980
5384	Luxembourg province	BE	present	1980-2004
5384	Luxembourg province	BE	present	After 2004
5390	Antwerpen province	BE	present	Before 1980
5390	Antwerpen province	BE	present	1980-2004
5390	Brabant province	BE	present	Before 1980
5419	Namur province	BE	present	After 2004
5419	Liège province	BE	present	After 2004
5419	Luxembourg province	BE	present	Before 1980
5419	Luxembourg province	BE	present	After 2004
4626	Brabant province	BE	present	Before 1980
4626	Namur province	BE	present	Before 1980
4626	Liège province	BE	present	Before 1980
4626	Luxembourg province	BE	present	Before 1980
4627	West-Vlaanderen province	BE	present	After 2004
4627	Oost-Vlaanderen province	BE	present	After 2004
4627	Antwerpen province	BE	present	Before 1980
4627	Antwerpen province	BE	present	1980-2004
4627	Antwerpen province	BE	present	After 2004
4627	Limburg province	BE	present	Before 1980
4627	Limburg province	BE	present	After 2004
4627	Brabant province	BE	present	Before 1980
4627	Brabant province	BE	present	After 2004
4627	Hainaut province	BE	present	After 2004
4627	Namur province	BE	present	After 2004
4627	Liège province	BE	present	Before 1980
4627	Liège province	BE	present	After 2004
4627	Luxembourg province	BE	present	Before 1980
4627	Luxembourg province	BE	present	1980-2004
4627	Luxembourg province	BE	present	After 2004
4628	Limburg province	BE	present	After 2004
4628	Liège province	BE	present	After 2004
4628	Luxembourg province	BE	present	Before 1980
4635	Oost-Vlaanderen province	BE	present	After 2004
4635	Brabant province	BE	present	Before 1980
4635	Namur province	BE	present	Before 1980
4635	Liège province	BE	present	Before 1980
4635	Liège province	BE	present	After 2004
4635	Luxembourg province	BE	present	After 2004
5385	Oost-Vlaanderen province	BE	present	Before 1980
5385	Antwerpen province	BE	present	Before 1980
5385	Antwerpen province	BE	present	1980-2004
5385	Antwerpen province	BE	present	After 2004
5385	Limburg province	BE	present	Before 1980
5385	Limburg province	BE	present	1980-2004
5385	Limburg province	BE	present	After 2004
5385	Brabant province	BE	present	Before 1980
5385	Brabant province	BE	present	1980-2004
5385	Brabant province	BE	present	After 2004
5385	Namur province	BE	present	Before 1980
5518	West-Vlaanderen province	BE	present	Before 1980
5518	West-Vlaanderen province	BE	present	1980-2004
5518	West-Vlaanderen province	BE	present	After 2004
5518	Oost-Vlaanderen province	BE	present	Before 1980
5518	Oost-Vlaanderen province	BE	present	1980-2004
