id	taxonID	acceptedNameUsageID	scientificName	kingdom	class	order	family	genus	subgenus	specificEpithet	taxonRank	scientificNameAuthorship	taxonomicStatus	taxonRemarks	modified	language	informationWithheld	references
6549	6549	5336	Agonopterix vacciniella (Hübner, 1813)	Animalia	Insecta	Lepidoptera		Agonopterix		vacciniella	species	(Hübner, 1813)	synonym		2019-04-23	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/6549
5397	5397		Anacampsis obscurella (Denis & Schiffermüller, 1775)	Animalia	Insecta	Lepidoptera	Gelechiidae	Anacampsis		obscurella	species	(Denis & Schiffermüller, 1775)	accepted	A very rare and local xerotherm species in Belgium, hitherto only known from the provinces of LX and NA.	2021-04-11	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/5397
6574	6574	5397	Anacampsis subsequella (Hübner, 1796)	Animalia	Insecta	Lepidoptera	Gelechiidae	Anacampsis		subsequella	species	(Hübner, 1796)	synonym		2020-03-25	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/6574
5507	5507		Archips crataegana (Hübner, 1799)	Animalia	Insecta	Lepidoptera		Archips		crataegana	species	(Hübner, 1799)	accepted	A rather common species in most areas of Belgium.	2021-05-15	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/5507
6808	6808	6017	Depressaria albipuncta Haworth, 1811	Animalia	Insecta	Lepidoptera		Depressaria		albipuncta	species	Haworth, 1811	synonym		2019-04-23	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/6808
7543	7543	6017	Depressaria aegopodiella (Hübner, 1825)	Animalia	Insecta	Lepidoptera		Depressaria		aegopodiella	species	(Hübner, 1825)	synonym		2019-04-23	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/7543
4145	4145		Mirificarma mulinella (Zeller, 1839)	Animalia	Insecta	Lepidoptera		Mirificarma		mulinella	species	(Zeller, 1839)	accepted	A rare species in Belgium. In some area's in the southern part the species can be locally fairly common.	2021-03-12	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/4145
4749	4749		Scrobipalpa brahmiella (Heyden, 1862)	Animalia	Insecta	Lepidoptera		Scrobipalpa		brahmiella	species	(Heyden, 1862)	accepted	This species has not been seen in Belgium for a long time and is thought to be extinct.	2021-03-13	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/4749
6809	6809	6020	Depressaria nervosa sensu auct., nec Haworth, 1811	Animalia	Insecta	Lepidoptera		Depressaria		nervosa	species	sensu auct., nec Haworth, 1811	synonym		2019-04-23	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/6809
6019	6019		Depressaria chaerophylli Zeller, 1839	Animalia	Insecta	Lepidoptera		Depressaria		chaerophylli	species	Zeller, 1839	accepted	A very rare and local species in Belgium.	2021-03-05	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/6019
